Rank,Error Message,Snippet IDs
165,"mismatched input '(' expecting {';', NL}","['3591_0', '3703_4', '6562_1', '8959_0', '9607_0', '13379_0', '13379_1', '17028_1', '17010_0', '23699_1', '26974_0', '27695_2', '27792_2', '28040_1', '28144_0', '28689_0', '30398_0', '32101_1', '32297_3', '32676_0', '33711_1', '33662_0', '33528_1', '35639_0', '36758_0', '39456_1', '41082_2', '41157_0', '41188_0', '42961_0', '44509_3', '46160_0', '48144_2', '48593_1', '48635_2', '48880_0', '48880_1', '49065_1', '49104_0', '49554_0', '49554_1', '50546_1', '52390_1', '52241_0', '52851_1', '54855_2', '55017_0', '54913_0', '58432_0', '59368_0', '59386_0', '59820_1', '60357_1', '60671_0', '63328_0', '63617_0', '63617_1', '63745_2', '64042_0', '64325_0', '65187_1', '65506_0', '66284_1', '66169_0', '66643_0', '66643_1', '67381_0', '69004_0', '69727_0', '69427_0', '70327_1', '72441_0', '72618_0', '73729_1', '76436_0', '76863_1', '77459_3', '77544_1', '79070_0', '79315_0', '80001_0', '83073_0', '83299_0', '83808_0', '85282_0', '87359_0', '88108_1', '89442_1', '91466_1', '91830_0', '92365_0', '92576_1', '93068_2', '95078_1', '96956_0', '97457_0', '98576_0', '99706_0', '99937_0', '100235_0', '101986_0', '102168_0', '102466_0', '104067_0', '106263_0', '106273_0', '107088_0', '109320_0', '109918_0', '110232_0', '110717_1', '110839_0', '111898_0', '114027_1', '114542_1', '114715_0', '115349_0', '115396_0', '116734_0', '117480_2', '117975_0', '118509_0', '118597_1', '119175_0', '119484_1', '119559_1', '121703_3', '122055_0', '123076_0', '123287_0', '123657_2', '123906_0', '124861_1', '125616_1', '127706_4', '128414_0', '128806_0', '129005_0', '129587_0', '129694_0', '130676_1', '130689_0', '131168_0', '131866_0', '133752_3', '134053_0', '134091_0', '134856_1', '135374_0', '139140_0', '139804_0', '140281_0', '140516_1', '140664_2', '140788_4', '142508_1', '142707_0', '142781_0', '143549_1', '143549_3', '143910_0', '147163_0', '147298_1', '147455_0', '147688_0']"
162,"extraneous input '}' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['1047_0', '955_1', '871_0', '1692_0', '2128_0', '2567_2', '1890_0', '3591_0', '5727_1', '7094_0', '7818_0', '7163_1', '8421_0', '8523_0', '9607_0', '10981_0', '12642_0', '12973_0', '12973_1', '13379_0', '11800_2', '15241_0', '19675_1', '21051_0', '21031_0', '21348_0', '21773_3', '23699_0', '25027_0', '24937_0', '24845_2', '26826_1', '26903_0', '29245_0', '30398_0', '30547_0', '31256_0', '31256_1', '32354_0', '33856_1', '35071_0', '36284_0', '37090_0', '38001_0', '40874_0', '41157_0', '41188_0', '41459_1', '42200_0', '42200_1', '43641_1', '45559_0', '45559_2', '45690_0', '45542_0', '47866_0', '52352_0', '52960_0', '55315_1', '55592_0', '57321_0', '59010_0', '59890_0', '60511_0', '61766_0', '61930_0', '62932_2', '63617_1', '63809_1', '64170_0', '64715_0', '65782_0', '66147_0', '66169_0', '66736_2', '66962_0', '70713_0', '71060_1', '73533_3', '76436_1', '76929_0', '76529_0', '78721_0', '79664_2', '80947_3', '83073_0', '84665_0', '85031_0', '87661_0', '87661_1', '89456_0', '89747_0', '90243_0', '90775_1', '91442_0', '91580_0', '92502_2', '92948_2', '93158_0', '95205_0', '99029_0', '101370_0', '101882_1', '102466_0', '106263_0', '106670_0', '107019_0', '107840_0', '108042_0', '107962_3', '109972_1', '111456_0', '112411_0', '113995_0', '114549_0', '114562_0', '114621_0', '114734_0', '114939_1', '116750_0', '118597_0', '118947_0', '119342_2', '119559_1', '120445_0', '120511_0', '120807_0', '120891_1', '120714_0', '121924_1', '122056_0', '122459_0', '122545_0', '122959_12', '123701_0', '125772_0', '127842_0', '128379_0', '128503_3', '128694_0', '129948_0', '130155_2', '131384_0', '132134_2', '132167_2', '132782_0', '133446_0', '133798_0', '136807_0', '136953_0', '137256_0', '137849_1', '140232_0', '140368_0', '141733_0', '141797_0', '141804_0', '142512_0', '143112_0', '143262_2', '145145_1', '145765_1']"
108,"extraneous input '.' expecting {<EOF>, 'pragma', 'import', 'from', '}', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['1932_0', '9000_3', '9988_0', '9469_2', '9469_3', '10390_0', '10390_1', '11056_0', '11056_1', '11743_1', '12394_0', '12733_0', '16262_0', '25288_1', '26559_0', '26674_4', '27146_1', '27146_2', '27259_2', '32451_0', '34303_0', '34842_1', '37485_0', '37485_1', '41459_0', '41501_0', '42194_0', '45351_1', '45431_0', '47004_0', '48796_2', '51942_0', '51942_1', '53281_1', '55984_0', '59890_0', '60043_0', '60385_2', '60675_2', '64668_0', '70351_1', '72250_0', '75849_3', '76529_1', '79997_0', '83033_0', '84095_2', '84315_0', '84474_0', '85275_0', '86483_0', '87398_0', '87451_0', '89531_1', '90570_0', '90737_0', '90995_0', '90995_1', '91436_0', '91464_0', '91753_0', '92105_0', '92227_0', '96556_0', '96904_0', '98134_0', '99565_4', '99909_0', '99937_0', '99960_1', '103544_0', '106799_0', '106843_2', '109972_1', '111418_0', '113395_0', '114502_0', '114276_1', '116882_0', '118147_0', '118808_1', '119431_1', '121371_0', '121657_0', '121863_0', '122677_1', '124681_0', '124681_1', '125071_1', '128484_1', '128701_0', '128942_1', '129998_0', '131560_0', '133013_0', '134071_0', '134071_1', '134071_2', '134323_0', '134857_0', '139761_0', '141453_0', '142382_0', '144525_1', '145519_0', '147614_2', '147693_0', '147693_1']"
91,"extraneous input '.' expecting {<EOF>, 'pragma', 'import', 'from', '}', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier, NL}","['2942_0', '3852_0', '3852_1', '9000_3', '9705_0', '9988_0', '9469_2', '11056_1', '18009_0', '23681_3', '24404_1', '26559_0', '27940_3', '29141_0', '30021_0', '33683_0', '33736_1', '33736_2', '38828_4', '45431_0', '47004_0', '48796_2', '51493_1', '52490_3', '55984_0', '56316_1', '56711_0', '59071_3', '63492_2', '66226_0', '66152_0', '68824_1', '69642_0', '70361_0', '73680_1', '77254_0', '77254_1', '77721_2', '78675_0', '78675_1', '78536_3', '78536_5', '78907_0', '79274_0', '79274_1', '79603_1', '79964_5', '82951_0', '83033_1', '83033_2', '83782_1', '84566_1', '86515_1', '91151_2', '91436_0', '91466_2', '91601_0', '91654_0', '91785_1', '92265_1', '92265_6', '92840_2', '92840_3', '93701_2', '96904_0', '98201_0', '98349_0', '99565_4', '102638_0', '103544_0', '106843_2', '109513_0', '111418_0', '112262_0', '114623_3', '115308_1', '119431_1', '122121_2', '122690_0', '124372_0', '127009_1', '128701_0', '129026_0', '132134_0', '132721_1', '136164_0', '136164_1', '136340_0', '137539_0', '139761_0', '145412_0']"
86,no viable alternative at input 'TypeError:',"['25057_1', '25163_2', '28688_3', '29217_0', '30247_1', '34302_0', '36032_0', '37457_4', '37457_5', '39962_2', '40433_2', '43053_1', '44234_2', '44509_0', '50294_0', '55262_1', '55630_2', '61341_2', '61597_0', '64868_1', '65260_0', '65889_1', '66186_0', '67487_2', '67814_1', '70066_1', '71691_0', '72459_1', '73080_1', '76903_1', '78315_0', '79485_0', '79374_2', '79374_4', '80111_1', '80574_1', '84691_1', '89332_2', '89747_2', '90447_1', '92462_1', '95076_0', '98177_1', '102332_0', '102822_0', '103104_0', '111823_0', '111918_1', '112383_3', '112398_1', '112661_1', '113366_0', '114027_1', '114137_1', '117770_1', '118230_2', '118230_3', '118348_0', '120793_1', '121284_0', '121523_0', '122296_1', '122459_2', '124509_0', '125508_1', '126253_1', '126752_0', '126846_1', '127077_1', '127152_1', '128102_0', '129102_2', '129994_1', '130660_1', '130923_1', '130923_2', '133041_1', '136782_1', '137924_1', '139050_1', '142645_0', '142916_0', '144351_0', '144502_0', '147580_0', '148229_1']"
67,"extraneous input '.' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', '}', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'else', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}","['2417_2', '2942_0', '4085_2', '5946_1', '6617_2', '7756_3', '7814_3', '9000_3', '9983_1', '11056_1', '11120_0', '29245_0', '33856_1', '35356_1', '36758_0', '41648_1', '43671_1', '45431_0', '46859_2', '47004_0', '50881_0', '51436_0', '51436_1', '51760_0', '54867_0', '54867_2', '56164_2', '56316_3', '57107_1', '57107_2', '57592_2', '58432_0', '59348_1', '59890_0', '61932_0', '62527_0', '65813_1', '66420_3', '67368_1', '69201_0', '69307_0', '71782_0', '71792_0', '72022_0', '83717_8', '87451_0', '91490_1', '91654_0', '91753_0', '93701_2', '96690_0', '97262_0', '97296_0', '99909_0', '102610_0', '103544_0', '106843_2', '116922_1', '117931_0', '118030_0', '120274_0', '121685_1', '125107_1', '136024_0', '142382_0', '148069_1', '148246_0']"
62,"mismatched input ')' expecting {'=', ';', NL}","['2567_0', '11146_1', '23699_0', '24845_2', '27261_0', '29245_0', '33856_1', '35071_0', '38001_0', '40874_0', '42200_0', '47354_1', '47866_0', '50605_0', '52960_0', '55592_0', '55900_0', '57321_0', '60511_0', '64584_0', '64715_0', '66962_0', '69653_0', '70394_3', '71618_0', '72570_0', '73105_0', '76436_1', '82866_1', '82907_1', '87661_0', '87661_1', '89752_0', '93158_0', '93297_1', '98201_0', '99029_0', '101370_0', '103118_0', '107019_0', '107971_0', '109320_0', '110520_0', '114621_0', '114939_1', '115323_0', '116750_0', '117975_0', '119342_2', '120445_0', '121924_1', '122718_0', '122959_12', '125155_1', '129666_0', '129684_2', '129708_0', '132933_0', '140368_0', '140539_0', '140788_0', '143262_2']"
58,"mismatched input ')' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['7094_0', '7163_1', '11146_1', '16082_1', '21773_3', '23699_0', '22904_1', '24845_2', '31256_0', '31256_1', '36587_1', '38001_0', '38838_0', '41012_0', '41501_0', '42200_0', '42200_1', '44682_1', '45690_0', '47596_0', '48880_0', '48880_1', '55900_0', '58984_0', '63618_4', '64584_0', '64715_0', '65782_0', '70394_3', '70713_0', '73114_1', '76436_1', '76929_0', '78038_0', '78669_0', '78721_0', '82907_1', '87244_1', '90243_0', '91466_1', '95078_1', '99029_0', '106263_0', '107971_1', '112383_0', '114549_0', '114562_0', '115323_0', '117975_0', '120445_0', '121924_1', '122459_0', '122959_12', '131168_0', '141797_0', '141804_0', '143278_1', '147163_0']"
57,"mismatched input '.' expecting {'=', ';', NL}","['7094_0', '11056_1', '11146_1', '16082_1', '24845_2', '28040_1', '32101_1', '38001_0', '40874_0', '42200_0', '42200_1', '48383_5', '51436_1', '52533_0', '54855_2', '55900_0', '60555_1', '63704_0', '63704_1', '64325_0', '64715_0', '65782_0', '76929_0', '76582_0', '76529_0', '78907_1', '82866_1', '82907_1', '92502_1', '92948_2', '94720_0', '97457_0', '98201_0', '99706_0', '106263_0', '109972_1', '111456_0', '112411_0', '114027_1', '114562_0', '114939_1', '115252_5', '115323_0', '116897_1', '118002_1', '121924_1', '122677_1', '124038_0', '125616_1', '130676_1', '131173_0', '131455_3', '134053_0', '140232_0', '140788_4', '141156_1', '147688_0']"
56,"mismatched input '(' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['21773_2', '21773_3', '23699_0', '24978_1', '24845_2', '29245_0', '31256_0', '31256_1', '33856_1', '36199_0', '37090_0', '37280_1', '40874_0', '42200_1', '47866_0', '50605_0', '54918_0', '55900_0', '59010_0', '59890_0', '60511_0', '64715_0', '65428_0', '66397_1', '70394_3', '71618_0', '73114_1', '73737_0', '76436_1', '78721_0', '87244_1', '87661_0', '87661_1', '89752_0', '93158_0', '99221_0', '101370_0', '107971_0', '107971_1', '112383_0', '112411_0', '114562_0', '117975_0', '119342_2', '120406_0', '120445_0', '121924_1', '122459_0', '130275_1', '133446_0', '136172_2', '142508_1', '143262_2', '143278_1', '143691_0', '143691_3']"
